Ozone Code Profile Report

Project:       C:/MasterThesis_Nrf/nrf53_j.jdebug
Application:   C:/MasterThesis_Nrf/TINY_AnomalyDetection/build_nRF53/zephyr/zephyr.elf
Date:          24 mar 2022


Code Coverage Summary

Module/Function                                                                                                                                                                                                                                                                                                                                                                                                                                                             |                Source Lines                 |                Instructions                 
  RuntimeShape::ReplaceWith(const class RuntimeShape*, int, const int*) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                    |                           0  |                           0  
  RuntimeShape::Resize(const class RuntimeShape*, int) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                     |                           0  |                           0  
  RuntimeShape::RuntimeShape(const class RuntimeShape*) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                    |                           0  |                           0  
  RuntimeShape::~RuntimeShape(const class RuntimeShape*, const int) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                        |                           0  |                           0  
  SafeBuiltinDataAllocator::Allocate<TfLiteFullyConnectedParams>(const class SafeBuiltinDataAllocator*) (always inlined)                                                                                                                                                                                                                                                                                                                                                    |                           0  |                           0  
  SaturatingRoundingDoublingHighMul<int>(int, int) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                         |                           0  |                           0  
  ScopedMicroProfiler::ScopedMicroProfiler(const class ScopedMicroProfiler*, const char*, class MicroProfiler*) (always inlined)                                                                                                                                                                                                                                                                                                                                            |                           0  |                           0  
  ScopedMicroProfiler::~ScopedMicroProfiler(const class ScopedMicroProfiler*, const int) (always inlined)                                                                                                                                                                                                                                                                                                                                                                   |                           0  |                           0  
  sense_for_pin(const struct gpio_nrfx_data*, unsigned int) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                |                           0  |                           0  
  set_chunk_size(struct z_heap*, unsigned int, unsigned int) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                               |                           0  |                           0  
  set_chunk_used(struct z_heap*, unsigned int, _Bool) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                      |                           0  |                           0  
  set_left_chunk_size(struct z_heap*, unsigned int, unsigned int) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                          |                           0  |                           0  
  set_next_free_chunk(struct z_heap*, unsigned int, unsigned int) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                          |                           0  |                           0  
  set_prev_free_chunk(struct z_heap*, unsigned int, unsigned int) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                          |                           0  |                           0  
  should_preempt(struct k_thread*, int) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                                    |                           0  |                           0  
  SimpleMemoryAllocator::SimpleMemoryAllocator(const class SimpleMemoryAllocator*, const class SimpleMemoryAllocator&) (always inlined)                                                                                                                                                                                                                                                                                                                                     |                           0  |                           0  
  sliceable(struct k_thread*) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                                              |                           0  |                           0  
  solo_free_header(struct z_heap*, unsigned int) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                           |                           0  |                           0  
  std                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |                           3  |                          72  
  std::get_new_handler                                                                                                                                                                                                                                                                                                                                                                                                                                                      |                           0  |                           0  
  store_count(const struct conversion*, void*, int) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                        |                           0  |                           0  
  strcmp                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |                           0  |                           0  
  String::c_str(const struct String*) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                                      |                           0  |                           0  
  strncmp                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |                       2 872  |                      37 476  
  strncpy                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |                           2  |                         290  
  strnlen                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |                         400  |                     184 400  
  strtok                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |                         834  |                      10 856  
  strtol                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |                          15  |                          90  
  SubGraph::operators(const struct SubGraph*) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                              |                           0  |                           0  
  SubGraph::tensors(const struct SubGraph*) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                                |                           0  |                           0  
  sys_dlist_append(struct _dnode*, struct _dnode*) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                         |                           0  |                           0  
  sys_dlist_init(struct _dnode*) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                                           |                           0  |                           0  
  sys_dlist_insert(struct _dnode*, struct _dnode*) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                         |                           0  |                           0  
  sys_dlist_is_empty(struct _dnode*) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                                       |                           0  |                           0  
  sys_dlist_peek_head(struct _dnode*) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                                      |                           0  |                           0  
  sys_dlist_peek_next(struct _dnode*, struct _dnode*) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                      |                           0  |                           0  
  sys_dlist_peek_next_no_check(struct _dnode*, struct _dnode*) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                             |                           0  |                           0  
  sys_dlist_remove(struct _dnode*) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                                         |                           0  |                           0  
  sys_dnode_init(struct _dnode*) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                                           |                           0  |                           0  
  sys_dnode_is_linked(const struct _dnode*) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                                |                           0  |                           0  
  sys_notify_get_method(const struct sys_notify*) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                          |                           0  |                           0  
  sys_notify_init_spinwait(struct sys_notify*) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                             |                           0  |                           0  
  sys_slist_append(struct _slist*, struct _snode*) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                         |                           0  |                           0  
  sys_slist_find_and_remove(struct _slist*, struct _snode*) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                |                           0  |                           0  
  sys_slist_get_not_empty(struct _slist*) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                                  |                           0  |                           0  
  sys_slist_init(struct _slist*) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                                           |                           0  |                           0  
  sys_slist_is_empty(struct _slist*) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                                       |                           0  |                           0  
  sys_slist_peek_head(struct _slist*) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                                      |                           0  |                           0  
  sys_slist_peek_next(struct _snode*) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                                      |                           0  |                           0  
  sys_slist_peek_next_no_check(struct _snode*) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                             |                           0  |                           0  
  sys_slist_peek_tail(struct _slist*) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                                      |                           0  |                           0  
  sys_slist_prepend(struct _slist*, struct _snode*) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                        |                           0  |                           0  
  sys_slist_remove(struct _slist*, struct _snode*, struct _snode*) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                         |                           0  |                           0  
  Table::GetField<int>(const class Table*, short unsigned int, int) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                        |                           0  |                           0  
  Table::GetField<signed char>(const class Table*, short unsigned int, signed char) (always inlined)                                                                                                                                                                                                                                                                                                                                                                        |                           0  |                           0  
  Table::GetField<unsigned char>(const class Table*, short unsigned int, unsigned char) (always inlined)                                                                                                                                                                                                                                                                                                                                                                    |                           0  |                           0  
  Table::GetField<unsigned int>(const class Table*, short unsigned int, unsigned int) (always inlined)                                                                                                                                                                                                                                                                                                                                                                      |                           0  |                           0  
  Table::GetOptionalFieldOffset(const class Table*, short unsigned int) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                    |                           0  |                           0  
  Table::GetPointer<const flatbuffers::String*>(const class Table*, short unsigned int) (always inlined)                                                                                                                                                                                                                                                                                                                                                                    |                           0  |                           0  
  Table::GetPointer<const flatbuffers::Vector<flatbuffers::Offset<tflite::Buffer> >*>(const class Table*, short unsigned int) (always inlined)                                                                                                                                                                                                                                                                                                                              |                           0  |                           0  
  Table::GetPointer<const flatbuffers::Vector<flatbuffers::Offset<tflite::Metadata> >*>(const class Table*, short unsigned int) (always inlined)                                                                                                                                                                                                                                                                                                                            |                           0  |                           0  
  Table::GetPointer<const flatbuffers::Vector<flatbuffers::Offset<tflite::Operator> >*>(const class Table*, short unsigned int) (always inlined)                                                                                                                                                                                                                                                                                                                            |                           0  |                           0  
  Table::GetPointer<const flatbuffers::Vector<flatbuffers::Offset<tflite::OperatorCode> >*>(const class Table*, short unsigned int) (always inlined)                                                                                                                                                                                                                                                                                                                        |                           0  |                           0  
  Table::GetPointer<const flatbuffers::Vector<flatbuffers::Offset<tflite::SubGraph> >*>(const class Table*, short unsigned int) (always inlined)                                                                                                                                                                                                                                                                                                                            |                           0  |                           0  
  Table::GetPointer<const flatbuffers::Vector<flatbuffers::Offset<tflite::Tensor> >*>(const class Table*, short unsigned int) (always inlined)                                                                                                                                                                                                                                                                                                                              |                           0  |                           0  
  Table::GetPointer<const flatbuffers::Vector<float>*>(const class Table*, short unsigned int) (always inlined)                                                                                                                                                                                                                                                                                                                                                             |                           0  |                           0  
  Table::GetPointer<const flatbuffers::Vector<int>*>(const class Table*, short unsigned int) (always inlined)                                                                                                                                                                                                                                                                                                                                                               |                           0  |                           0  
  Table::GetPointer<const flatbuffers::Vector<long long int>*>(const class Table*, short unsigned int) (always inlined)                                                                                                                                                                                                                                                                                                                                                     |                           0  |                           0  
  Table::GetPointer<const flatbuffers::Vector<unsigned char>*>(const class Table*, short unsigned int) (always inlined)                                                                                                                                                                                                                                                                                                                                                     |                           0  |                           0  
  Table::GetPointer<const tflite::QuantizationParameters*>(const class Table*, short unsigned int) (always inlined)                                                                                                                                                                                                                                                                                                                                                         |                           0  |                           0  
  Table::GetPointer<void const*>(const class Table*, short unsigned int) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                   |                           0  |                           0  
  Table::GetVTable(const class Table*) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                                     |                           0  |                           0  
  Tensor::buffer(const struct Tensor*) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                                     |                           0  |                           0  
  Tensor::is_variable(const struct Tensor*) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                                |                           0  |                           0  
  Tensor::quantization(const struct Tensor*) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                               |                           0  |                           0  
  Tensor::shape(const struct Tensor*) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                                      |                           0  |                           0  
  Tensor::type(const struct Tensor*) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                                       |                           0  |                           0  
  TfLiteRound<double>(const double) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                                        |                           0  |                           0  
  TfLiteRound<float>(const float) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                                          |                           0  |                           0  
  tuple<TfLiteFullyConnectedParams*, tflite::(anonymous namespace)::SafeBuiltinDataAllocator::BuiltinDataDeleter>::tuple<TfLiteFullyConnectedParams*&, tflite::(anonymous namespace)::SafeBuiltinDataAllocator::BuiltinDataDeleter>(const class tuple<TfLiteFullyConnectedParams*, tflite::(anonymous namespace)::SafeBuiltinDataAllocator::BuiltinDataDeleter>*, struct TfLiteFullyConnectedParams*&, class BuiltinDataDeleter) (always inlined)                           |                           0  |                           0  
  uart_fifo_fill(const struct device*, const unsigned char*, int) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                          |                           0  |                           0  
  uart_fifo_read(const struct device*, unsigned char*, const int) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                          |                           0  |                           0  
  uart_irq_callback_user_data_set(const struct device*, void(const struct device*, void*)*, void*) (always inlined)                                                                                                                                                                                                                                                                                                                                                         |                           0  |                           0  
  uart_irq_rx_disable(const struct device*) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                                |                           0  |                           0  
  uart_irq_rx_enable(const struct device*) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                                 |                           0  |                           0  
  uart_irq_rx_ready(const struct device*) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                                  |                           0  |                           0  
  uart_irq_tx_disable(const struct device*) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                                |                           0  |                           0  
