Ozone Code Profile Report

Project:       C:/MasterThesis_Nrf/nrf53_j.jdebug
Application:   C:/MasterThesis_Nrf/TINY_AnomalyDetection/build_nRF53/zephyr/zephyr.elf
Date:          24 mar 2022


Code Coverage Summary

Module/Function                                                                                                                                                                                                                                                                                                                                                                                                                                                             |                Source Lines                 |                Instructions                 
  clock_event_handler(enum nrfx_clock_evt_type_t)                                                                                                                                                                                                                                                                                                                                                                                                                           |            4 /           11          36.4%  |            8 /           26          30.8%
  generic_hfclk_start()                                                                                                                                                                                                                                                                                                                                                                                                                                                     |            0 /           13           0.0%  |            0 /           32           0.0%
  generic_hfclk_stop()                                                                                                                                                                                                                                                                                                                                                                                                                                                      |            0 /            3           0.0%  |            0 /           13           0.0%
  get_hf_flags()                                                                                                                                                                                                                                                                                                                                                                                                                                                            |            0 /            1           0.0%  |            0 /            2           0.0%
  get_onoff_manager(const struct device*, enum clock_control_nrf_type)                                                                                                                                                                                                                                                                                                                                                                                                      |            2 /            2         100.0%  |            3 /            3         100.0%
  get_status(const struct device*, void*)                                                                                                                                                                                                                                                                                                                                                                                                                                   |            0 /            2           0.0%  |            0 /            6           0.0%
  get_sub_config(const struct device*, enum clock_control_nrf_type)                                                                                                                                                                                                                                                                                                                                                                                                         |            2 /            2         100.0%  |            3 /            3         100.0%
  get_sub_data(const struct device*, enum clock_control_nrf_type)                                                                                                                                                                                                                                                                                                                                                                                                           |            2 /            2         100.0%  |            6 /            6         100.0%
  get_subsys(struct onoff_manager*)                                                                                                                                                                                                                                                                                                                                                                                                                                         |            2 /            2         100.0%  |            4 /            4         100.0%
  hfclk192m_start()                                                                                                                                                                                                                                                                                                                                                                                                                                                         |            0 /            2           0.0%  |            0 /            4           0.0%
  hfclk192m_stop()                                                                                                                                                                                                                                                                                                                                                                                                                                                          |            0 /            2           0.0%  |            0 /            4           0.0%
  hfclk_start()                                                                                                                                                                                                                                                                                                                                                                                                                                                             |            0 /            2           0.0%  |            0 /            4           0.0%
  hfclk_stop()                                                                                                                                                                                                                                                                                                                                                                                                                                                              |            0 /            2           0.0%  |            0 /            4           0.0%
  hfclkaudio_start()                                                                                                                                                                                                                                                                                                                                                                                                                                                        |            0 /            2           0.0%  |            0 /            4           0.0%
  hfclkaudio_stop()                                                                                                                                                                                                                                                                                                                                                                                                                                                         |            0 /            2           0.0%  |            0 /            4           0.0%
  lfclk_spinwait(enum nrf_lfclk_start_mode)                                                                                                                                                                                                                                                                                                                                                                                                                                 |           12 /           24          50.0%  |           53 /           86          61.6%
